actual_x, actual_y, actual_z, measured_x, measured_y, measured_z
2.84007,-0.588873,-0.0474018,2.80082,-0.541076,-0.0410267
2.83972,-0.5883,-0.0475294,2.81235,-0.538837,-0.0457963
2.83903,-0.590427,-0.0475272,2.80082,-0.536486,-0.0456168
2.83958,-0.590264,-0.0475801,2.81235,-0.538837,-0.0457963
2.83796,-0.591363,-0.0467003,2.80082,-0.536486,-0.0410267
2.83807,-0.594877,-0.0469995,2.81235,-0.543447,-0.0411873
2.8391,-0.590349,-0.0473475,2.81235,-0.543447,-0.0411873
2.8399,-0.59071,-0.0478356,2.80082,-0.541076,-0.0410267
2.64858,0.378172,0.302841,2.59849,0.416131,0.298219
2.64883,0.378075,0.303005,2.59849,0.416131,0.298219
2.64848,0.380098,0.30296,2.59849,0.416131,0.298219
2.64861,0.381866,0.302785,2.59849,0.416131,0.302477
2.64828,0.379775,0.303042,2.59849,0.42039,0.298219
2.64958,0.379458,0.302877,2.59849,0.416131,0.302477
2.64907,0.378052,0.302917,2.59849,0.416131,0.302477
2.64849,0.379605,0.302833,2.59849,0.416131,0.302477
2.64981,0.376006,0.302367,2.59849,0.416131,0.302477
2.58327,-0.462315,0.342039,2.56918,-0.41343,0.341148
2.58269,-0.462492,0.342175,2.57887,-0.419349,0.342443
2.58277,-0.462177,0.342242,2.56918,-0.417641,0.341148
2.58392,-0.459575,0.341713,2.57887,-0.415123,0.342443
2.58377,-0.459614,0.341384,2.56918,-0.41343,0.341148
2.58292,-0.459711,0.3418,2.57887,-0.415123,0.342443
2.58328,-0.458582,0.3421,2.57887,-0.415123,0.342443
2.58305,-0.461116,0.341487,2.56918,-0.41343,0.341148
2.5837,-0.459669,0.341668,2.56918,-0.41343,0.341148
2.58457,-0.459618,0.341896,2.56918,-0.41343,0.341148
2.58315,-0.460889,0.341449,2.56918,-0.41343,0.341148
2.58264,-0.457476,0.342766,2.56918,-0.41343,0.341148
2.58261,-0.460206,0.342716,2.56918,-0.40922,0.345359
2.58261,-0.459794,0.342449,2.56918,-0.41343,0.345359
2.73622,-0.227789,0.24943,2.63862,-0.174739,0.242315
2.7366,-0.225513,0.249539,2.62847,-0.173933,0.241375
2.73616,-0.225755,0.250098,2.62847,-0.173933,0.245683
2.73584,-0.225833,0.249373,2.6184,-0.173132,0.244734
2.73605,-0.228162,0.250127,2.6184,-0.173132,0.244734
2.73678,-0.225876,0.249497,2.63862,-0.174739,0.242315
2.73601,-0.22637,0.249703,2.62847,-0.173933,0.241375
2.73647,-0.224614,0.249621,2.62847,-0.173933,0.245683
2.73621,-0.22775,0.249726,2.62847,-0.169625,0.241375
2.73626,-0.228222,0.249978,2.6184,-0.173132,0.240442
2.73646,-0.227744,0.250217,2.62847,-0.173933,0.241375
2.73623,-0.226113,0.250138,2.62847,-0.173933,0.245683
2.73566,-0.22738,0.249471,2.62847,-0.173933,0.245683
2.73678,-0.228042,0.249529,2.62847,-0.173933,0.241375
2.73632,-0.228224,0.249588,2.62847,-0.173933,0.241375
2.73579,-0.227717,0.24958,2.62847,-0.173933,0.241375
2.73541,-0.229427,0.250282,2.62847,-0.173933,0.241375
2.83951,-0.503878,-0.0472629,2.82397,-0.457903,-0.0413492
2.83872,-0.502949,-0.0474907,2.81235,-0.455875,-0.0457963
2.8387,-0.503436,-0.0476689,2.82397,-0.457903,-0.0459773
2.83861,-0.504125,-0.0468162,2.81235,-0.455875,-0.0457963
2.83853,-0.503971,-0.0475449,2.82397,-0.457903,-0.0413492
2.8384,-0.503214,-0.0466924,2.81235,-0.455875,-0.0457963
2.83934,-0.504917,-0.0471241,2.82397,-0.457903,-0.0413492
2.83918,-0.503011,-0.0472113,2.82397,-0.457903,-0.0413492
2.83833,-0.503772,-0.047094,2.82397,-0.457903,-0.0413492
2.83803,-0.507777,-0.0469957,2.81235,-0.455875,-0.0411873
2.67206,-0.302547,0.288915,2.58864,-0.247131,0.280112
2.67148,-0.303387,0.289294,2.59848,-0.248203,0.281184
2.67103,-0.302483,0.288685,2.58864,-0.251373,0.284354
2.67174,-0.302862,0.28885,2.58864,-0.247131,0.280112
2.67128,-0.301517,0.288893,2.58864,-0.247131,0.280112
2.67131,-0.303644,0.288881,2.57887,-0.246066,0.283274
2.67169,-0.301429,0.289131,2.58864,-0.251373,0.280112
2.67192,-0.302156,0.288998,2.58864,-0.247131,0.280112
2.67134,-0.303555,0.288424,2.57887,-0.246066,0.283274
2.71338,0.379504,0.263859,2.66954,0.417803,0.262678
2.71202,0.380172,0.263909,2.66954,0.417803,0.262678
2.71283,0.380364,0.26325,2.68001,0.419304,0.263716
2.71342,0.381587,0.262683,2.66954,0.417803,0.262678
2.71218,0.381018,0.263854,2.68001,0.419304,0.263716
2.71352,0.380309,0.2633,2.66954,0.417803,0.262678
2.7132,0.379768,0.263747,2.68001,0.419304,0.263716
2.71273,0.380246,0.263523,2.66954,0.417803,0.262678
2.71301,0.378837,0.26354,2.68001,0.419304,0.263716
2.71397,0.376033,0.26355,2.68001,0.419304,0.263716
2.71304,0.378426,0.263502,2.68001,0.414912,0.263716
2.71264,0.381796,0.263553,2.68001,0.419304,0.263716
2.7129,0.382408,0.263339,2.66954,0.422178,0.262678
2.71309,0.379125,0.263951,2.66954,0.422178,0.262678
2.71323,0.379457,0.263086,2.66954,0.417803,0.262678
2.71259,0.378467,0.263822,2.66954,0.417803,0.262678
2.71346,0.380611,0.263754,2.68001,0.419304,0.263716
2.67208,-0.303009,0.288745,2.57887,-0.246066,0.283274
2.67182,-0.303138,0.288741,2.58864,-0.251373,0.280112
2.67053,-0.30352,0.288899,2.58864,-0.251373,0.280112
2.67087,-0.304956,0.288636,2.58864,-0.251373,0.284354
2.6711,-0.304273,0.288471,2.58864,-0.251373,0.284354
2.67055,-0.303317,0.288932,2.58864,-0.251373,0.280112
2.671,-0.304128,0.288698,2.58864,-0.251373,0.284354
2.67121,-0.300701,0.288417,2.58864,-0.251373,0.280112
2.6706,-0.303389,0.289152,2.58864,-0.247131,0.284354
2.67152,-0.302242,0.288122,2.58864,-0.251373,0.284354
2.45199,-0.459036,0.420016,2.4851,-0.419118,0.427664
2.45399,-0.4573,0.419539,2.4851,-0.419118,0.427664
2.45364,-0.458437,0.420175,2.49417,-0.420776,0.429232
2.45311,-0.458753,0.420303,2.49417,-0.420776,0.429232
2.45329,-0.458207,0.419725,2.4851,-0.423191,0.427664
2.45353,-0.458263,0.419933,2.4851,-0.419118,0.427664
2.45304,-0.459987,0.420824,2.4851,-0.419118,0.427664
2.45291,-0.459168,0.420742,2.4851,-0.423191,0.431736
2.45342,-0.459269,0.42005,2.4851,-0.419118,0.431736
2.4539,-0.460127,0.419898,2.4851,-0.423191,0.427664
2.4535,-0.458176,0.419991,2.4851,-0.423191,0.427664
2.45366,-0.459041,0.420106,2.49417,-0.420776,0.429232
2.45348,-0.45941,0.420447,2.4851,-0.419118,0.427664
2.45281,-0.458797,0.421205,2.4851,-0.419118,0.431736
2.45346,-0.459775,0.41979,2.4851,-0.419118,0.427664
2.45255,-0.459911,0.420672,2.49417,-0.424863,0.429232
2.45166,-0.460878,0.420748,2.4851,-0.423191,0.431736
2.83273,-0.590033,0.0854041,2.77805,-0.536392,0.0867703
2.83383,-0.59079,0.0840505,2.77805,-0.536392,0.0867703
2.833,-0.591369,0.0846657,2.78939,-0.538725,0.0871326
2.83243,-0.588662,0.0850612,2.78939,-0.538725,0.0871326
2.83228,-0.59195,0.085008,2.77805,-0.531839,0.0867703
2.83283,-0.591217,0.0851777,2.78939,-0.538725,0.0871326
2.83254,-0.588771,0.085154,2.77805,-0.536392,0.0867703
2.83313,-0.589376,0.0847959,2.78939,-0.538725,0.0871326
2.83308,-0.589817,0.0841495,2.77805,-0.536392,0.0867703
2.83283,-0.590334,0.0845178,2.77805,-0.531839,0.0867703
2.83709,0.508708,0.0188878,2.80083,0.546793,0.0232356
2.83752,0.509607,0.0183471,2.80083,0.546793,0.0232356
2.83753,0.507226,0.0185379,2.80083,0.546793,0.0232356
2.83723,0.508612,0.0183569,2.80083,0.546793,0.0232356
2.83697,0.511407,0.0180983,2.80083,0.546793,0.0232356
2.83673,0.510566,0.0193004,2.80083,0.551383,0.0232356
2.83701,0.51292,0.0187759,2.80083,0.551383,0.0232356
2.83739,0.512115,0.018649,2.80083,0.551383,0.0232356
2.83727,0.511887,0.018912,2.80083,0.551383,0.0232356
2.83701,0.509338,0.0182243,2.80083,0.551383,0.0232356
2.83746,0.508268,0.0191852,2.80083,0.546793,0.0232356
2.83728,0.511513,0.0188679,2.7894,0.544704,0.0231326
2.83812,0.510596,0.0185117,2.80083,0.551383,0.0232356
2.83751,0.509865,0.0189279,2.80083,0.546793,0.0232356
2.83717,0.51134,0.0187604,2.80083,0.546793,0.0232356
2.6481,0.453943,0.303348,2.57888,0.485104,0.295953
